Identifier,Dictionary1,Dictionary2
1865010212209,0.5199483633041382,0.5657961964607239
1865010212203,0.2921826243400574,0.31611037254333496
1865010212216,0.3968471586704254,0.5569995641708374
1865010212211,0.6996070146560669,0.5056270360946655
1865010212214,0.554133415222168,0.4512608051300049
1865010212212,0.5437591075897217,0.3408631682395935
1865010212220,0.6741760969161987,0.5754380822181702
1865010212204,0.3895251154899597,0.2946867346763611
1865010212207,0.45130521059036255,0.5580554008483887
1865010212228,0.506381094455719,0.5435755848884583
1865010212206,0.5882457494735718,0.444510817527771
1865010212223,0.2808535695075989,0.3584214746952057
1865010212213,0.18817651271820068,0.15384158492088318
1865010212221,0.34081849455833435,0.4704993665218353
1865010212224,0.4734855890274048,0.39803415536880493
1865010212217,0.4843805432319641,0.5014461278915405
1865010212202,0.3592994213104248,0.38210707902908325
1865010212222,0.46126696467399597,0.32393351197242737
1865010212227,0.4036305248737335,0.46461737155914307
1865010212226,0.5493103265762329,0.5688650608062744
1865010212225,0.41379374265670776,0.3666583001613617
1865010212208,0.5437591075897217,0.3408631682395935
1865010212201,0.36686772108078003,0.5559504628181458
1865010212218,0.47478562593460083,0.37377870082855225
1865010212205,0.2016352117061615,0.1566300094127655
1865010212215,0.6205117702484131,0.48297274112701416
1865010212210,0.39126908779144287,0.4510817527770996
1865010212219,0.4863851070404053,0.5112920999526978
1865010207201,0.6572437882423401,0.508689284324646
1865010307201,0.6572437882423401,0.508689284324646
1865010407201,0.6572437882423401,0.508689284324646
1865010407202,0.6572437882423401,0.508689284324646
1865010607202,0.6572437882423401,0.508689284324646
1865010607201,0.6572437882423401,0.508689284324646
1865010707202,0.6572437882423401,0.508689284324646
1865010707201,0.6572437882423401,0.508689284324646
1865010907202,0.6572437882423401,0.508689284324646
1865010907201,0.6572437882423401,0.508689284324646
1865010909201,0.461112916469574,0.44874781370162964
1865011107201,0.6572437882423401,0.508689284324646
1865011607201,0.5967479348182678,0.3668767809867859
1865030418202,0.5344006419181824,0.6943773031234741
1865030418201,0.5344006419181824,0.6943773031234741
1865040318206,0.534899890422821,0.5710244178771973
1865040318205,0.5122334957122803,0.6982278823852539
1865040318202,0.43340790271759033,0.5816938877105713
1865040318203,0.4430564045906067,0.46774113178253174
1865040318207,0.534899890422821,0.5710244178771973
1865040318201,0.39089593291282654,0.5559504628181458
1865040318204,0.5117429494857788,0.5553368330001831
1865040418201,0.4940878450870514,0.6197284460067749
1865040518201,0.5122334957122803,0.6982278823852539
1865040618202,0.43340790271759033,0.5816938877105713
1865040618205,0.5117429494857788,0.5553368330001831
1865040618206,0.5122334957122803,0.6982278823852539
1865040618204,0.4430564045906067,0.46774113178253174
1865040618201,0.5354695320129395,0.5559504628181458
1865040618203,0.4940878450870514,0.6197284460067749
1865040718203,0.4940878450870514,0.6197284460067749
1865040718201,0.39089593291282654,0.5559504628181458
1865040718202,0.43340790271759033,0.5816938877105713
1865040718204,0.4430564045906067,0.46774113178253174
1865040718206,0.5122334957122803,0.6982278823852539
1865040718205,0.5117429494857788,0.5553368330001831
1865050118201,0.5354695320129395,0.5559504628181458
1865050118202,0.4940878450870514,0.6197284460067749
1865061312201,0.6773282289505005,0.672934889793396
1865062018205,0.4345482587814331,0.5063409805297852
1865062018201,0.49009326100349426,0.5372808575630188
1865062018203,0.47120553255081177,0.5548394918441772
1865062018204,0.5145007371902466,0.560004472732544
1865062018202,0.5468003749847412,0.5004758238792419
1865071018206,0.5122334957122803,0.6982278823852539
1865071018209,0.5145007371902466,0.4635106921195984
